model,layer,representation,Representation,Condition,same_relation_group_rdm_corr,same_relation_group_rdm_std
openai-community/gpt2,7,context,Figurative,Idiomaticity Ablation,0.32088048509419476,0.6659311418715045
openai-community/gpt2,7,context,Figurative,Random Ablation,0.44509228577581855,0.5603888955767364
openai-community/gpt2,7,no_context,Literal,No Ablation,0.348684597121322,0.5777154889598539
openai-community/gpt2,7,no_context,Literal,Idiomaticity Ablation,0.30717991873406425,0.6408779377853315
openai-community/gpt2,7,no_context,Literal,Random Ablation,0.393538858478575,0.6057160000773739
openai-community/gpt2,8,standard,Neutral,No Ablation,0.5348008084903246,0.4380014133484482
openai-community/gpt2,8,standard,Neutral,Idiomaticity Ablation,0.1449137674618944,0.5571611718601465
openai-community/gpt2,8,standard,Neutral,Random Ablation,0.3898870410284302,0.5465367151000755
openai-community/gpt2,8,context,Figurative,No Ablation,0.5624034308640188,0.47070109816052474
openai-community/gpt2,8,context,Figurative,Idiomaticity Ablation,0.32088048509419476,0.6329353386066724
openai-community/gpt2,8,context,Figurative,Random Ablation,0.4554432691659539,0.5193402408000807
openai-community/gpt2,8,no_context,Literal,No Ablation,0.3452342693246102,0.6056927599467984
openai-community/gpt2,8,no_context,Literal,Idiomaticity Ablation,0.2449732735665358,0.653005870315625
openai-community/gpt2,8,no_context,Literal,Random Ablation,0.4107904974621339,0.5826186098175523
openai-community/gpt2,9,standard,Neutral,No Ablation,0.5037478583199186,0.44137231880751643
openai-community/gpt2,9,standard,Neutral,Idiomaticity Ablation,0.21737065119284163,0.5118942413093884
openai-community/gpt2,9,standard,Neutral,Random Ablation,0.3933373688251419,0.5300943312279428
openai-community/gpt2,9,context,Figurative,No Ablation,0.5486021196771718,0.48818175772086014
openai-community/gpt2,9,context,Figurative,Idiomaticity Ablation,0.24842360136324756,0.6276941930590088
openai-community/gpt2,9,context,Figurative,Random Ablation,0.5313504806936129,0.4830951794221844
openai-community/gpt2,9,no_context,Literal,No Ablation,0.3693865639015926,0.5608957002661387
openai-community/gpt2,9,no_context,Literal,Idiomaticity Ablation,0.24852434618996408,0.6367594051972484
openai-community/gpt2,9,no_context,Literal,Random Ablation,0.43494279203911623,0.5616463445912508
openai-community/gpt2,10,standard,Neutral,No Ablation,0.5175491695067658,0.44158804331639245
openai-community/gpt2,10,standard,Neutral,Idiomaticity Ablation,0.22082097898955338,0.5152900246694182
openai-community/gpt2,10,standard,Neutral,Random Ablation,0.4209399911988361,0.49995237868459136
openai-community/gpt2,10,context,Figurative,No Ablation,0.5313504806936129,0.4771442828607158
openai-community/gpt2,10,context,Figurative,Idiomaticity Ablation,0.2449732735665358,0.6239181112324034
openai-community/gpt2,10,context,Figurative,Random Ablation,0.5589531030673071,0.4770444723203788
openai-community/gpt2,10,no_context,Literal,No Ablation,0.38318787508843966,0.5331205047203434
openai-community/gpt2,10,no_context,Literal,Idiomaticity Ablation,0.2210224686429864,0.6199535028257237
openai-community/gpt2,10,no_context,Literal,Random Ablation,0.44184344763253974,0.5204082896651997
openai-community/gpt2,11,standard,Neutral,No Ablation,0.5313504806936129,0.44620089432366467
openai-community/gpt2,11,standard,Neutral,Idiomaticity Ablation,0.26222491255009467,0.5139019732354003
openai-community/gpt2,11,standard,Neutral,Random Ablation,0.407138680011989,0.5154286242213045
openai-community/gpt2,11,context,Figurative,No Ablation,0.5624034308640188,0.4327514408107841
openai-community/gpt2,11,context,Figurative,Idiomaticity Ablation,0.27602622373694174,0.6078847008469696
openai-community/gpt2,11,context,Figurative,Random Ablation,0.5106485139133422,0.49203174500761454
openai-community/gpt2,11,no_context,Literal,No Ablation,0.41424082525884565,0.5114663390681689
openai-community/gpt2,11,no_context,Literal,Idiomaticity Ablation,0.26557449552008994,0.6416362506011895
openai-community/gpt2,11,no_context,Literal,Random Ablation,0.4418434476325398,0.5886756948155275
openai-community/gpt2,12,standard,Neutral,No Ablation,0.2346222901764005,0.5020908663730482
openai-community/gpt2,12,standard,Neutral,Idiomaticity Ablation,0.1345627840717591,0.44852934288468965
openai-community/gpt2,12,standard,Neutral,Random Ablation,0.21737065119284163,0.5624245981208758
openai-community/gpt2,12,context,Figurative,No Ablation,0.3519334352646007,0.5635347625226225
openai-community/gpt2,12,context,Figurative,Idiomaticity Ablation,0.3415824518744654,0.5369557044779659
openai-community/gpt2,12,context,Figurative,Random Ablation,0.26567524034680645,0.583207469414575
openai-community/gpt2,12,no_context,Literal,No Ablation,0.3141813191542042,0.5850987257400169
openai-community/gpt2,12,no_context,Literal,Idiomaticity Ablation,0.18996951847258048,0.621603228472902
openai-community/gpt2,12,no_context,Literal,Random Ablation,0.238223735213187,0.5866453897591076
Qwen/Qwen2.5-7B,1,standard,Neutral,No Ablation,0.1828673732257239,0.6153879922068525
Qwen/Qwen2.5-7B,1,standard,Neutral,Idiomaticity Ablation,0.12421180068162378,0.6120224085533378
Qwen/Qwen2.5-7B,1,standard,Neutral,Random Ablation,0.2070196678027063,0.6059231445842429
Qwen/Qwen2.5-7B,1,context,Figurative,No Ablation,0.1345627840717591,0.7069299823886381
Qwen/Qwen2.5-7B,1,context,Figurative,Idiomaticity Ablation,0.12766212847833555,0.7000935311663382
Qwen/Qwen2.5-7B,1,context,Figurative,Random Ablation,0.1690660620388768,0.6953844431747981
Qwen/Qwen2.5-7B,1,no_context,Literal,No Ablation,0.16541424458873202,0.6503647147108466
Qwen/Qwen2.5-7B,1,no_context,Literal,Idiomaticity Ablation,0.1792155557755791,0.6863490816479431
Qwen/Qwen2.5-7B,1,no_context,Literal,Random Ablation,0.2585730950999499,0.650201355912096
Qwen/Qwen2.5-7B,2,standard,Neutral,No Ablation,0.11731114508820024,0.6028108761302773
Qwen/Qwen2.5-7B,2,standard,Neutral,Idiomaticity Ablation,0.07590721152765897,0.5867180713409936
Qwen/Qwen2.5-7B,2,standard,Neutral,Random Ablation,0.15871507864874151,0.601624784190596
Qwen/Qwen2.5-7B,2,context,Figurative,No Ablation,0.16561573424216505,0.6367327315511364
Qwen/Qwen2.5-7B,2,context,Figurative,Idiomaticity Ablation,0.15181442305531795,0.6631813656983466
Qwen/Qwen2.5-7B,2,context,Figurative,Random Ablation,0.1345627840717591,0.6500824123579587
Qwen/Qwen2.5-7B,2,no_context,Literal,No Ablation,0.11710965543476723,0.665083264540627
Qwen/Qwen2.5-7B,2,no_context,Literal,Idiomaticity Ablation,0.13781162221503784,0.6446935749035783
Qwen/Qwen2.5-7B,2,no_context,Literal,Random Ablation,0.18611621136900264,0.6579055764030941
Qwen/Qwen2.5-7B,3,standard,Neutral,No Ablation,0.17941704542901213,0.5483308003994183
Qwen/Qwen2.5-7B,3,standard,Neutral,Idiomaticity Ablation,0.18631770102243567,0.5753259945457011
Qwen/Qwen2.5-7B,3,standard,Neutral,Random Ablation,0.24152294576982403,0.560824223374677
Qwen/Qwen2.5-7B,3,context,Figurative,No Ablation,0.2518739291599593,0.6188603196506426
Qwen/Qwen2.5-7B,3,context,Figurative,Idiomaticity Ablation,0.2553242569566711,0.6133825032050518
Qwen/Qwen2.5-7B,3,context,Figurative,Random Ablation,0.22082097898955338,0.6300415708128957
Qwen/Qwen2.5-7B,3,no_context,Literal,No Ablation,0.2551731397165964,0.6296858866339614
Qwen/Qwen2.5-7B,3,no_context,Literal,Idiomaticity Ablation,0.2102685059459851,0.6344697481279911
Qwen/Qwen2.5-7B,3,no_context,Literal,Random Ablation,0.2171691615394086,0.6377657236803187
Qwen/Qwen2.5-7B,4,standard,Neutral,No Ablation,0.2449732735665358,0.5509623615180296
Qwen/Qwen2.5-7B,4,standard,Neutral,Idiomaticity Ablation,0.2553242569566711,0.4845714847259627
Qwen/Qwen2.5-7B,4,standard,Neutral,Random Ablation,0.28292687933036526,0.5056349144063004
Qwen/Qwen2.5-7B,4,context,Figurative,No Ablation,0.36918507424815955,0.5782877023304808
Qwen/Qwen2.5-7B,4,context,Figurative,Idiomaticity Ablation,0.4278406467922597,0.5488516149544387
Qwen/Qwen2.5-7B,4,context,Figurative,Random Ablation,0.43474130238568326,0.5407666515499745
Qwen/Qwen2.5-7B,4,no_context,Literal,No Ablation,0.3691850742481596,0.5880860805147816
Qwen/Qwen2.5-7B,4,no_context,Literal,Idiomaticity Ablation,0.2760262237369418,0.6399404734221845
Qwen/Qwen2.5-7B,4,no_context,Literal,Random Ablation,0.4105890078087009,0.5663059075732664
Qwen/Qwen2.5-7B,5,standard,Neutral,No Ablation,0.22427130678626517,0.5673140559648053
Qwen/Qwen2.5-7B,5,standard,Neutral,Idiomaticity Ablation,0.2346222901764005,0.5175031630913224
Qwen/Qwen2.5-7B,5,standard,Neutral,Random Ablation,0.2898275349237888,0.5466782809451487
Qwen/Qwen2.5-7B,5,context,Figurative,No Ablation,0.3519334352646007,0.5673245480826147
Qwen/Qwen2.5-7B,5,context,Figurative,Idiomaticity Ablation,0.43474130238568315,0.5136702666664121
Qwen/Qwen2.5-7B,5,context,Figurative,Random Ablation,0.44164195797910677,0.5297798284822355
Qwen/Qwen2.5-7B,5,no_context,Literal,No Ablation,0.3691850742481596,0.5929245515320848
Qwen/Qwen2.5-7B,5,no_context,Literal,Idiomaticity Ablation,0.3452342693246102,0.5692157557506881
Qwen/Qwen2.5-7B,5,no_context,Literal,Random Ablation,0.41058900780870083,0.544441609969946
Qwen/Qwen2.5-7B,6,standard,Neutral,No Ablation,0.4519929413692421,0.5325030739906803
Qwen/Qwen2.5-7B,6,standard,Neutral,Idiomaticity Ablation,0.34503277967117724,0.5313952882562589
Qwen/Qwen2.5-7B,6,standard,Neutral,Random Ablation,0.44509228577581855,0.48081032791379547
Qwen/Qwen2.5-7B,6,context,Figurative,No Ablation,0.5417014640837482,0.484165949511804
Qwen/Qwen2.5-7B,6,context,Figurative,Idiomaticity Ablation,0.5175491695067657,0.4773438413315322
Qwen/Qwen2.5-7B,6,context,Figurative,Random Ablation,0.5520524474738835,0.45773770821706355
Qwen/Qwen2.5-7B,6,no_context,Literal,No Ablation,0.5073996757700635,0.5271448600548203
Qwen/Qwen2.5-7B,6,no_context,Literal,Idiomaticity Ablation,0.469446070006234,0.4927612653878414
Qwen/Qwen2.5-7B,6,no_context,Literal,Random Ablation,0.4901480367865047,0.5183266007639832
Qwen/Qwen2.5-7B,7,standard,Neutral,No Ablation,0.7107675261226251,0.27351329731755974
Qwen/Qwen2.5-7B,7,standard,Neutral,Idiomaticity Ablation,0.6693635925620837,0.31929982923951117
Qwen/Qwen2.5-7B,7,standard,Neutral,Random Ablation,0.7004165427324897,0.3002181746346354
Qwen/Qwen2.5-7B,7,context,Figurative,No Ablation,0.7487211318864546,0.2905454640270034
Qwen/Qwen2.5-7B,7,context,Figurative,Idiomaticity Ablation,0.6590126091719484,0.37319406415939893
Qwen/Qwen2.5-7B,7,context,Figurative,Random Ablation,0.724568837309472,0.33487737627802994
Qwen/Qwen2.5-7B,7,no_context,Literal,No Ablation,0.6074591818747048,0.4643438285318437
Qwen/Qwen2.5-7B,7,no_context,Literal,Idiomaticity Ablation,0.5867572150944343,0.47544937163530415
Qwen/Qwen2.5-7B,7,no_context,Literal,Random Ablation,0.6109095096714167,0.45589471499579454
Qwen/Qwen2.5-7B,8,standard,Neutral,No Ablation,0.7349198206996074,0.2710429591675197
Qwen/Qwen2.5-7B,8,standard,Neutral,Idiomaticity Ablation,0.6797145759522191,0.2929935802969719
Qwen/Qwen2.5-7B,8,standard,Neutral,Random Ablation,0.7418204762930309,0.2599221495169734
Qwen/Qwen2.5-7B,8,context,Figurative,No Ablation,0.7590721152765898,0.27167908239230315
Qwen/Qwen2.5-7B,8,context,Figurative,Idiomaticity Ablation,0.7142178539193368,0.31035693736636305
Qwen/Qwen2.5-7B,8,context,Figurative,Random Ablation,0.7659727708700134,0.24871096247882382
Qwen/Qwen2.5-7B,8,no_context,Literal,No Ablation,0.6488631154352461,0.43345613440448255
Qwen/Qwen2.5-7B,8,no_context,Literal,Idiomaticity Ablation,0.5867572150944343,0.4709207902638099
Qwen/Qwen2.5-7B,8,no_context,Literal,Random Ablation,0.6454127876385343,0.42952619678050324
Qwen/Qwen2.5-7B,9,standard,Neutral,No Ablation,0.6383106423916779,0.3670182297275995
Qwen/Qwen2.5-7B,9,standard,Neutral,Idiomaticity Ablation,0.6176086756114072,0.3327196732271493
Qwen/Qwen2.5-7B,9,standard,Neutral,Random Ablation,0.6624629369686602,0.3290679478249353
Qwen/Qwen2.5-7B,9,context,Figurative,No Ablation,0.7280191651061839,0.33056589286223953
Qwen/Qwen2.5-7B,9,context,Figurative,Idiomaticity Ablation,0.6900655593423544,0.31320159337914955
Qwen/Qwen2.5-7B,9,context,Figurative,Random Ablation,0.7383701484963192,0.2912207475602036
Qwen/Qwen2.5-7B,9,no_context,Literal,No Ablation,0.5971081984845695,0.487205667380545
Qwen/Qwen2.5-7B,9,no_context,Literal,Idiomaticity Ablation,0.545353281533893,0.4826240076643476
Qwen/Qwen2.5-7B,9,no_context,Literal,Random Ablation,0.5902075428911461,0.48387400003620257
Qwen/Qwen2.5-7B,10,standard,Neutral,No Ablation,0.6693635925620837,0.3512562488852724
Qwen/Qwen2.5-7B,10,standard,Neutral,Idiomaticity Ablation,0.5727544142541542,0.43649033153531547
Qwen/Qwen2.5-7B,10,standard,Neutral,Random Ablation,0.6452112979851014,0.3762439684692949
Qwen/Qwen2.5-7B,10,context,Figurative,No Ablation,0.7314694929028956,0.3369329451445934
Qwen/Qwen2.5-7B,10,context,Figurative,Idiomaticity Ablation,0.6693635925620838,0.3388355409480001
Qwen/Qwen2.5-7B,10,context,Figurative,Random Ablation,0.7418204762930308,0.29103673471295854
Qwen/Qwen2.5-7B,10,no_context,Literal,No Ablation,0.5971081984845695,0.46315463883089775
Qwen/Qwen2.5-7B,10,no_context,Literal,Idiomaticity Ablation,0.514300331363487,0.4744649806876198
Qwen/Qwen2.5-7B,10,no_context,Literal,Random Ablation,0.5971081984845695,0.4312085236856419
Qwen/Qwen2.5-7B,11,standard,Neutral,No Ablation,0.7004165427324897,0.292993580296972
Qwen/Qwen2.5-7B,11,standard,Neutral,Idiomaticity Ablation,0.6245093312048307,0.3474224819328493
Qwen/Qwen2.5-7B,11,standard,Neutral,Random Ablation,0.6969662149357778,0.309300285590988
Qwen/Qwen2.5-7B,11,context,Figurative,No Ablation,0.7418204762930308,0.323577472875324
Qwen/Qwen2.5-7B,11,context,Figurative,Idiomaticity Ablation,0.6555622813752368,0.35287931297231007
Qwen/Qwen2.5-7B,11,context,Figurative,Random Ablation,0.7383701484963192,0.3147939613385843
Qwen/Qwen2.5-7B,11,no_context,Literal,No Ablation,0.5971081984845695,0.45850464030897775
Qwen/Qwen2.5-7B,11,no_context,Literal,Idiomaticity Ablation,0.5384526259404694,0.44766606312249607
Qwen/Qwen2.5-7B,11,no_context,Literal,Random Ablation,0.5764062317042989,0.4723261484464224
Qwen/Qwen2.5-7B,12,standard,Neutral,No Ablation,0.6728139203587954,0.3198772085839012
Qwen/Qwen2.5-7B,12,standard,Neutral,Idiomaticity Ablation,0.6279596590015425,0.33587129054077225
Qwen/Qwen2.5-7B,12,standard,Neutral,Random Ablation,0.6935158871390662,0.31808579256007563
Qwen/Qwen2.5-7B,12,context,Figurative,No Ablation,0.7314694929028956,0.36344908597386527
Qwen/Qwen2.5-7B,12,context,Figurative,Idiomaticity Ablation,0.6797145759522191,0.35069658572346446
Qwen/Qwen2.5-7B,12,context,Figurative,Random Ablation,0.7590721152765898,0.2968084198523319
Qwen/Qwen2.5-7B,12,no_context,Literal,No Ablation,0.6143598374681284,0.41581020256833123
Qwen/Qwen2.5-7B,12,no_context,Literal,Idiomaticity Ablation,0.5936578706878578,0.4183889627690932
Qwen/Qwen2.5-7B,12,no_context,Literal,Random Ablation,0.6247108208582637,0.39560219436316013
Qwen/Qwen2.5-7B,13,standard,Neutral,No Ablation,0.6590126091719485,0.28408164487059173
Qwen/Qwen2.5-7B,13,standard,Neutral,Idiomaticity Ablation,0.5831053976442895,0.3693462693282101
Qwen/Qwen2.5-7B,13,standard,Neutral,Random Ablation,0.665913264765372,0.288076544060941
Qwen/Qwen2.5-7B,13,context,Figurative,No Ablation,0.7349198206996074,0.32165864781517345
Qwen/Qwen2.5-7B,13,context,Figurative,Idiomaticity Ablation,0.6659132647653719,0.34036045318931835
Qwen/Qwen2.5-7B,13,context,Figurative,Random Ablation,0.7521714596831662,0.2827585205654836
Qwen/Qwen2.5-7B,13,no_context,Literal,No Ablation,0.6005585262812813,0.4136353011932235
Qwen/Qwen2.5-7B,13,no_context,Literal,Idiomaticity Ablation,0.5177506591601988,0.47747740795481325
Qwen/Qwen2.5-7B,13,no_context,Literal,Random Ablation,0.5798565595010107,0.4501932178841227
Qwen/Qwen2.5-7B,14,standard,Neutral,No Ablation,0.6659132647653719,0.2905454640270033
Qwen/Qwen2.5-7B,14,standard,Neutral,Idiomaticity Ablation,0.5520524474738835,0.4134638810735238
Qwen/Qwen2.5-7B,14,standard,Neutral,Random Ablation,0.6693635925620837,0.29848825453481104
Qwen/Qwen2.5-7B,14,context,Figurative,No Ablation,0.7211185095127604,0.33485960099861617
Qwen/Qwen2.5-7B,14,context,Figurative,Idiomaticity Ablation,0.6624629369686603,0.3680062111277083
Qwen/Qwen2.5-7B,14,context,Figurative,Random Ablation,0.7418204762930309,0.3344327108630945
Qwen/Qwen2.5-7B,14,no_context,Literal,No Ablation,0.6109095096714167,0.37509616636036097
Qwen/Qwen2.5-7B,14,no_context,Literal,Idiomaticity Ablation,0.5039493479733517,0.46974131542448944
Qwen/Qwen2.5-7B,14,no_context,Literal,Random Ablation,0.5557042649240282,0.440081539651329
Qwen/Qwen2.5-7B,15,standard,Neutral,No Ablation,0.6245093312048307,0.3262156750781095
Qwen/Qwen2.5-7B,15,standard,Neutral,Idiomaticity Ablation,0.5417014640837482,0.4141974454406061
Qwen/Qwen2.5-7B,15,standard,Neutral,Random Ablation,0.6348603145949661,0.2972893411828827
Qwen/Qwen2.5-7B,15,context,Figurative,No Ablation,0.7073171983259132,0.3631049959656823
Qwen/Qwen2.5-7B,15,context,Figurative,Idiomaticity Ablation,0.6590126091719486,0.39003968052103677
Qwen/Qwen2.5-7B,15,context,Figurative,Random Ablation,0.7349198206996074,0.3472853910793584
Qwen/Qwen2.5-7B,15,no_context,Literal,No Ablation,0.5626049205174517,0.4194695400219074
Qwen/Qwen2.5-7B,15,no_context,Literal,Idiomaticity Ablation,0.5073996757700635,0.45121612249176324
Qwen/Qwen2.5-7B,15,no_context,Literal,Random Ablation,0.5281016425503341,0.47885481353596493
Qwen/Qwen2.5-7B,16,standard,Neutral,No Ablation,0.5934563810344248,0.3654090988519711
Qwen/Qwen2.5-7B,16,standard,Neutral,Idiomaticity Ablation,0.5486021196771718,0.3960970299596517
Qwen/Qwen2.5-7B,16,standard,Neutral,Random Ablation,0.6107080200179837,0.3574213200132304
Qwen/Qwen2.5-7B,16,context,Figurative,No Ablation,0.7176681817160485,0.332665998663324
Qwen/Qwen2.5-7B,16,context,Figurative,Idiomaticity Ablation,0.6452112979851014,0.4001636569966748
Qwen/Qwen2.5-7B,16,context,Figurative,Random Ablation,0.7556217874798781,0.2898891413725502
Qwen/Qwen2.5-7B,16,no_context,Literal,No Ablation,0.5212009869569105,0.4544698103351497
Qwen/Qwen2.5-7B,16,no_context,Literal,Idiomaticity Ablation,0.45909508661609866,0.46167008184434816
Qwen/Qwen2.5-7B,16,no_context,Literal,Random Ablation,0.5419029537371812,0.4345344408991735
Qwen/Qwen2.5-7B,17,standard,Neutral,No Ablation,0.6210590034081188,0.3443420226626843
Qwen/Qwen2.5-7B,17,standard,Neutral,Idiomaticity Ablation,0.5693040864574423,0.38844929803367806
Qwen/Qwen2.5-7B,17,standard,Neutral,Random Ablation,0.6279596590015425,0.3524742476239864
Qwen/Qwen2.5-7B,17,context,Figurative,No Ablation,0.7176681817160485,0.33904628143128335
Qwen/Qwen2.5-7B,17,context,Figurative,Idiomaticity Ablation,0.6521119535785249,0.4032457598749711
Qwen/Qwen2.5-7B,17,context,Figurative,Random Ablation,0.7590721152765898,0.2690370836538198
Qwen/Qwen2.5-7B,17,no_context,Literal,No Ablation,0.5108500035667752,0.4921641506314233
Qwen/Qwen2.5-7B,17,no_context,Literal,Idiomaticity Ablation,0.4452937754292516,0.4779938905951795
Qwen/Qwen2.5-7B,17,no_context,Literal,Random Ablation,0.5281016425503341,0.455931311732362
Qwen/Qwen2.5-7B,18,standard,Neutral,No Ablation,0.6279596590015425,0.32942952133014664
Qwen/Qwen2.5-7B,18,standard,Neutral,Idiomaticity Ablation,0.5762047420508658,0.4141974454406061
Qwen/Qwen2.5-7B,18,standard,Neutral,Random Ablation,0.6279596590015425,0.3644304101053092
Qwen/Qwen2.5-7B,18,context,Figurative,No Ablation,0.6866152315456426,0.38077302325413664
Qwen/Qwen2.5-7B,18,context,Figurative,Idiomaticity Ablation,0.6590126091719484,0.42509102666650234
Qwen/Qwen2.5-7B,18,context,Figurative,Random Ablation,0.7280191651061839,0.3432859421753798
Qwen/Qwen2.5-7B,18,no_context,Literal,No Ablation,0.4521944310226751,0.49222444315010633
Qwen/Qwen2.5-7B,18,no_context,Literal,Idiomaticity Ablation,0.43149246424240445,0.5048412359049969
Qwen/Qwen2.5-7B,18,no_context,Literal,Random Ablation,0.5004990201766399,0.44942154198353934
Qwen/Qwen2.5-7B,19,standard,Neutral,No Ablation,0.6555622813752365,0.3298628863778462
Qwen/Qwen2.5-7B,19,standard,Neutral,Idiomaticity Ablation,0.6003570366278483,0.40830660748301123
Qwen/Qwen2.5-7B,19,standard,Neutral,Random Ablation,0.6521119535785248,0.3225456778282951
Qwen/Qwen2.5-7B,19,context,Figurative,No Ablation,0.6900655593423544,0.3735288603626359
Qwen/Qwen2.5-7B,19,context,Figurative,Idiomaticity Ablation,0.6659132647653719,0.40899120959234514
Qwen/Qwen2.5-7B,19,context,Figurative,Random Ablation,0.7280191651061839,0.33056589286223953
Qwen/Qwen2.5-7B,19,no_context,Literal,No Ablation,0.47634672559965746,0.461984774061079
Qwen/Qwen2.5-7B,19,no_context,Literal,Idiomaticity Ablation,0.42114148085226916,0.47371358328415164
Qwen/Qwen2.5-7B,19,no_context,Literal,Random Ablation,0.49014803678650465,0.47065869578356717
Qwen/Qwen2.5-7B,20,standard,Neutral,No Ablation,0.6762642481555072,0.2972893411828827
