model,layer,representation,Representation,Condition,same_relation_group_rdm_corr,same_relation_group_rdm_std
openai-community/gpt2,4,context,Figurative,Idiomaticity Ablation,0.3829863854350066,0.5603888955767364
openai-community/gpt2,4,context,Figurative,Random Ablation,0.3070791739073477,0.6670742801503409
openai-community/gpt2,4,no_context,Literal,No Ablation,0.3866382028851515,0.6431983965936676
openai-community/gpt2,4,no_context,Literal,Idiomaticity Ablation,0.3417839415278985,0.5951757366372739
openai-community/gpt2,4,no_context,Literal,Random Ablation,0.27602622373694174,0.6661903060008634
openai-community/gpt2,5,standard,Neutral,No Ablation,0.5002975305232069,0.48446091787922485
openai-community/gpt2,5,standard,Neutral,Idiomaticity Ablation,0.20011901220928277,0.5331398458548144
openai-community/gpt2,5,standard,Neutral,Random Ablation,0.30017851831392417,0.5909133366480837
openai-community/gpt2,5,context,Figurative,No Ablation,0.5313504806936129,0.48751068364361694
openai-community/gpt2,5,context,Figurative,Idiomaticity Ablation,0.35538376306131253,0.5758120559779241
openai-community/gpt2,5,context,Figurative,Random Ablation,0.393337368825142,0.597255628449231
openai-community/gpt2,5,no_context,Literal,No Ablation,0.4176911530555574,0.5789265492259057
openai-community/gpt2,5,no_context,Literal,Idiomaticity Ablation,0.36593623610488085,0.5725865672435445
openai-community/gpt2,5,no_context,Literal,Random Ablation,0.3279826303410514,0.6363225485484575
openai-community/gpt2,6,standard,Neutral,No Ablation,0.514098841710054,0.4559004695053935
openai-community/gpt2,6,standard,Neutral,Idiomaticity Ablation,0.28292687933036526,0.5263983644496231
openai-community/gpt2,6,standard,Neutral,Random Ablation,0.4278406467922597,0.5152900246694182
openai-community/gpt2,6,context,Figurative,No Ablation,0.5175491695067658,0.46827952580239335
openai-community/gpt2,6,context,Figurative,Idiomaticity Ablation,0.4174896634021244,0.5404913989888761
openai-community/gpt2,6,context,Figurative,Random Ablation,0.4312909745889714,0.5735748383934701
openai-community/gpt2,6,no_context,Literal,No Ablation,0.3831878750884397,0.5630937891776259
openai-community/gpt2,6,no_context,Literal,Idiomaticity Ablation,0.3831878750884397,0.5706540492994377
openai-community/gpt2,6,no_context,Literal,Random Ablation,0.3831878750884397,0.6140640157267128
openai-community/gpt2,7,standard,Neutral,No Ablation,0.5313504806936129,0.42655876611831695
openai-community/gpt2,7,standard,Neutral,Idiomaticity Ablation,0.2656752403468064,0.5658011597557507
openai-community/gpt2,7,standard,Neutral,Random Ablation,0.41403933560541256,0.5371884479132335
openai-community/gpt2,7,context,Figurative,No Ablation,0.5209994973034776,0.4935175010164523
openai-community/gpt2,7,context,Figurative,Idiomaticity Ablation,0.362284418654736,0.6090097348506487
openai-community/gpt2,7,context,Figurative,Random Ablation,0.43474130238568326,0.592452529743945
openai-community/gpt2,7,no_context,Literal,No Ablation,0.348684597121322,0.5777154889598539
openai-community/gpt2,7,no_context,Literal,Idiomaticity Ablation,0.34523426932461027,0.6127276295577003
openai-community/gpt2,7,no_context,Literal,Random Ablation,0.3797375472917279,0.5991599723678037
openai-community/gpt2,8,standard,Neutral,No Ablation,0.5348008084903246,0.4380014133484482
openai-community/gpt2,8,standard,Neutral,Idiomaticity Ablation,0.26567524034680645,0.5556099179751753
openai-community/gpt2,8,standard,Neutral,Random Ablation,0.41403933560541256,0.5223572942509208
openai-community/gpt2,8,context,Figurative,No Ablation,0.5624034308640188,0.47070109816052474
openai-community/gpt2,8,context,Figurative,Idiomaticity Ablation,0.35538376306131253,0.579521559646609
openai-community/gpt2,8,context,Figurative,Random Ablation,0.44164195797910677,0.5897537823613547
openai-community/gpt2,8,no_context,Literal,No Ablation,0.3452342693246102,0.6056927599467984
openai-community/gpt2,8,no_context,Literal,Idiomaticity Ablation,0.3590355805114573,0.5806409149335485
openai-community/gpt2,8,no_context,Literal,Random Ablation,0.38318787508843966,0.5951617196638858
openai-community/gpt2,9,standard,Neutral,No Ablation,0.5037478583199186,0.44137231880751643
openai-community/gpt2,9,standard,Neutral,Idiomaticity Ablation,0.3553837630613125,0.5279227035773145
openai-community/gpt2,9,standard,Neutral,Random Ablation,0.41748966340212434,0.5049634593097756
openai-community/gpt2,9,context,Figurative,No Ablation,0.5486021196771718,0.48818175772086014
openai-community/gpt2,9,context,Figurative,Idiomaticity Ablation,0.3726354020448714,0.543533413350616
openai-community/gpt2,9,context,Figurative,Random Ablation,0.4485426135725304,0.5771440358309511
openai-community/gpt2,9,no_context,Literal,No Ablation,0.3693865639015926,0.5608957002661387
openai-community/gpt2,9,no_context,Literal,Idiomaticity Ablation,0.34868459712132194,0.5739943134721883
openai-community/gpt2,9,no_context,Literal,Random Ablation,0.3866382028851515,0.5776713402798039
openai-community/gpt2,10,standard,Neutral,No Ablation,0.5175491695067658,0.44158804331639245
openai-community/gpt2,10,standard,Neutral,Idiomaticity Ablation,0.33468179628104183,0.5183651039107291
openai-community/gpt2,10,standard,Neutral,Random Ablation,0.41748966340212434,0.49061428938870205
openai-community/gpt2,10,context,Figurative,No Ablation,0.5313504806936129,0.4771442828607158
openai-community/gpt2,10,context,Figurative,Idiomaticity Ablation,0.37263540204487133,0.5448459808580247
openai-community/gpt2,10,context,Figurative,Random Ablation,0.4692445803528009,0.5436210164478648
openai-community/gpt2,10,no_context,Literal,No Ablation,0.38318787508843966,0.5331205047203434
openai-community/gpt2,10,no_context,Literal,Idiomaticity Ablation,0.35558525271474556,0.5634418258143434
openai-community/gpt2,10,no_context,Literal,Random Ablation,0.40043951407199857,0.534507825703094
openai-community/gpt2,11,standard,Neutral,No Ablation,0.5313504806936129,0.44620089432366467
openai-community/gpt2,11,standard,Neutral,Idiomaticity Ablation,0.32088048509419476,0.5283735150710827
openai-community/gpt2,11,standard,Neutral,Random Ablation,0.42439031899554785,0.45736043929112574
openai-community/gpt2,11,context,Figurative,No Ablation,0.5624034308640188,0.4327514408107841
openai-community/gpt2,11,context,Figurative,Idiomaticity Ablation,0.4140393356054126,0.5464168999687223
openai-community/gpt2,11,context,Figurative,Random Ablation,0.32433081289090654,0.6418351664971164
openai-community/gpt2,11,no_context,Literal,No Ablation,0.41424082525884565,0.5114663390681689
openai-community/gpt2,11,no_context,Literal,Idiomaticity Ablation,0.379737547291728,0.5943722627894926
openai-community/gpt2,11,no_context,Literal,Random Ablation,0.3312818408976883,0.5746941362975616
openai-community/gpt2,12,standard,Neutral,No Ablation,0.2346222901764005,0.5020908663730482
openai-community/gpt2,12,standard,Neutral,Idiomaticity Ablation,0.16216540644545327,0.488571776663758
openai-community/gpt2,12,standard,Neutral,Random Ablation,0.10350983390135315,0.5470701182533317
openai-community/gpt2,12,context,Figurative,No Ablation,0.3519334352646007,0.5635347625226225
openai-community/gpt2,12,context,Figurative,Idiomaticity Ablation,-0.010350983390135316,0.6318058019902727
openai-community/gpt2,12,context,Figurative,Random Ablation,0.393337368825142,0.5728375486495777
openai-community/gpt2,12,no_context,Literal,No Ablation,0.3141813191542042,0.5850987257400169
openai-community/gpt2,12,no_context,Literal,Idiomaticity Ablation,-0.020550849540195874,0.6150919986350474
openai-community/gpt2,12,no_context,Literal,Random Ablation,0.2969296801706454,0.6228026856090343
Qwen/Qwen2.5-7B,1,standard,Neutral,No Ablation,0.1828673732257239,0.6153879922068525
Qwen/Qwen2.5-7B,1,standard,Neutral,Idiomaticity Ablation,0.12766212847833555,0.5905102716738981
Qwen/Qwen2.5-7B,1,standard,Neutral,Random Ablation,0.18976802881914745,0.6015357330161178
Qwen/Qwen2.5-7B,1,context,Figurative,No Ablation,0.1345627840717591,0.7069299823886381
Qwen/Qwen2.5-7B,1,context,Figurative,Idiomaticity Ablation,0.11731114508820024,0.6647949916721554
Qwen/Qwen2.5-7B,1,context,Figurative,Random Ablation,0.1449137674618944,0.6951875389315565
Qwen/Qwen2.5-7B,1,no_context,Literal,No Ablation,0.16541424458873202,0.6503647147108466
Qwen/Qwen2.5-7B,1,no_context,Literal,Idiomaticity Ablation,0.1792155557755791,0.6554742485028708
Qwen/Qwen2.5-7B,1,no_context,Literal,Random Ablation,0.22752014492954392,0.679284815789492
Qwen/Qwen2.5-7B,2,standard,Neutral,No Ablation,0.11731114508820024,0.6028108761302773
Qwen/Qwen2.5-7B,2,standard,Neutral,Idiomaticity Ablation,0.12766212847833555,0.5412837474357561
Qwen/Qwen2.5-7B,2,standard,Neutral,Random Ablation,0.15181442305531795,0.5865963161282538
Qwen/Qwen2.5-7B,2,context,Figurative,No Ablation,0.16561573424216505,0.6367327315511364
Qwen/Qwen2.5-7B,2,context,Figurative,Idiomaticity Ablation,0.2104699955994181,0.6135280488019001
Qwen/Qwen2.5-7B,2,context,Figurative,Random Ablation,0.1345627840717591,0.6456724069858161
Qwen/Qwen2.5-7B,2,no_context,Literal,No Ablation,0.11710965543476723,0.665083264540627
Qwen/Qwen2.5-7B,2,no_context,Literal,Idiomaticity Ablation,0.1447122778084614,0.6431797613350273
Qwen/Qwen2.5-7B,2,no_context,Literal,Random Ablation,0.10675867204463191,0.6554792186723651
Qwen/Qwen2.5-7B,3,standard,Neutral,No Ablation,0.17941704542901213,0.5483308003994183
Qwen/Qwen2.5-7B,3,standard,Neutral,Idiomaticity Ablation,0.18631770102243567,0.5602295447913676
Qwen/Qwen2.5-7B,3,standard,Neutral,Random Ablation,0.2104699955994181,0.5970064209593284
Qwen/Qwen2.5-7B,3,context,Figurative,No Ablation,0.2518739291599593,0.6188603196506426
Qwen/Qwen2.5-7B,3,context,Figurative,Idiomaticity Ablation,0.25877458475338294,0.6342881274085372
Qwen/Qwen2.5-7B,3,context,Figurative,Random Ablation,0.23807261797311224,0.59500900353332
Qwen/Qwen2.5-7B,3,no_context,Literal,No Ablation,0.2551731397165964,0.6296858866339614
Qwen/Qwen2.5-7B,3,no_context,Literal,Idiomaticity Ablation,0.1689653172121603,0.6409527825655755
Qwen/Qwen2.5-7B,3,no_context,Literal,Random Ablation,0.19991752255584974,0.6132563936423319
Qwen/Qwen2.5-7B,4,standard,Neutral,No Ablation,0.2449732735665358,0.5509623615180296
Qwen/Qwen2.5-7B,4,standard,Neutral,Idiomaticity Ablation,0.26222491255009467,0.524903619271014
Qwen/Qwen2.5-7B,4,standard,Neutral,Random Ablation,0.3243308128909066,0.5090139861489449
Qwen/Qwen2.5-7B,4,context,Figurative,No Ablation,0.36918507424815955,0.5782877023304808
Qwen/Qwen2.5-7B,4,context,Figurative,Idiomaticity Ablation,0.4554432691659539,0.5207137958061581
Qwen/Qwen2.5-7B,4,context,Figurative,Random Ablation,0.4623439247593774,0.5242227807044672
Qwen/Qwen2.5-7B,4,no_context,Literal,No Ablation,0.3691850742481596,0.5880860805147816
Qwen/Qwen2.5-7B,4,no_context,Literal,Idiomaticity Ablation,0.2451747632199688,0.6218151183128193
Qwen/Qwen2.5-7B,4,no_context,Literal,Random Ablation,0.393337368825142,0.5900363184947663
Qwen/Qwen2.5-7B,5,standard,Neutral,No Ablation,0.22427130678626517,0.5673140559648053
Qwen/Qwen2.5-7B,5,standard,Neutral,Idiomaticity Ablation,0.27257589594023,0.5535491546978161
Qwen/Qwen2.5-7B,5,standard,Neutral,Random Ablation,0.362284418654736,0.49659555259500965
Qwen/Qwen2.5-7B,5,context,Figurative,No Ablation,0.3519334352646007,0.5673245480826147
Qwen/Qwen2.5-7B,5,context,Figurative,Idiomaticity Ablation,0.469244580352801,0.518054970423943
Qwen/Qwen2.5-7B,5,context,Figurative,Random Ablation,0.45889359696266563,0.5530327640341376
Qwen/Qwen2.5-7B,5,no_context,Literal,No Ablation,0.3691850742481596,0.5929245515320848
Qwen/Qwen2.5-7B,5,no_context,Literal,Idiomaticity Ablation,0.2658767300002394,0.6097446646269392
Qwen/Qwen2.5-7B,5,no_context,Literal,Random Ablation,0.41748966340212434,0.5574068361191681
Qwen/Qwen2.5-7B,6,standard,Neutral,No Ablation,0.4519929413692421,0.5325030739906803
Qwen/Qwen2.5-7B,6,standard,Neutral,Idiomaticity Ablation,0.33468179628104183,0.5543228387174839
Qwen/Qwen2.5-7B,6,standard,Neutral,Random Ablation,0.5244498251001893,0.4317186032370535
Qwen/Qwen2.5-7B,6,context,Figurative,No Ablation,0.5417014640837482,0.484165949511804
Qwen/Qwen2.5-7B,6,context,Figurative,Idiomaticity Ablation,0.5037478583199186,0.4904322680287356
Qwen/Qwen2.5-7B,6,context,Figurative,Random Ablation,0.5520524474738835,0.45773770821706355
Qwen/Qwen2.5-7B,6,no_context,Literal,No Ablation,0.5073996757700635,0.5271448600548203
Qwen/Qwen2.5-7B,6,no_context,Literal,Idiomaticity Ablation,0.39698918627528673,0.531056903467022
Qwen/Qwen2.5-7B,6,no_context,Literal,Random Ablation,0.5004990201766399,0.5323610558891717
Qwen/Qwen2.5-7B,7,standard,Neutral,No Ablation,0.7107675261226251,0.27351329731755974
Qwen/Qwen2.5-7B,7,standard,Neutral,Idiomaticity Ablation,0.4554432691659539,0.5382511362870364
Qwen/Qwen2.5-7B,7,standard,Neutral,Random Ablation,0.6590126091719484,0.3411988667429403
Qwen/Qwen2.5-7B,7,context,Figurative,No Ablation,0.7487211318864546,0.2905454640270034
Qwen/Qwen2.5-7B,7,context,Figurative,Idiomaticity Ablation,0.5209994973034775,0.5378418071550496
Qwen/Qwen2.5-7B,7,context,Figurative,Random Ablation,0.6797145759522192,0.33613701854763817
Qwen/Qwen2.5-7B,7,no_context,Literal,No Ablation,0.6074591818747048,0.4643438285318437
Qwen/Qwen2.5-7B,7,no_context,Literal,Idiomaticity Ablation,0.4314924642424044,0.5980985005224705
Qwen/Qwen2.5-7B,7,no_context,Literal,Random Ablation,0.6040088540779931,0.4298780675201815
Qwen/Qwen2.5-7B,8,standard,Neutral,No Ablation,0.7349198206996074,0.2710429591675197
Qwen/Qwen2.5-7B,8,standard,Neutral,Idiomaticity Ablation,0.5727544142541542,0.45255886225940145
Qwen/Qwen2.5-7B,8,standard,Neutral,Random Ablation,0.6969662149357779,0.316152464726089
Qwen/Qwen2.5-7B,8,context,Figurative,No Ablation,0.7590721152765898,0.27167908239230315
Qwen/Qwen2.5-7B,8,context,Figurative,Idiomaticity Ablation,0.5279001528969011,0.5174456493198104
Qwen/Qwen2.5-7B,8,context,Figurative,Random Ablation,0.6900655593423544,0.36579984118302167
Qwen/Qwen2.5-7B,8,no_context,Literal,No Ablation,0.6488631154352461,0.43345613440448255
Qwen/Qwen2.5-7B,8,no_context,Literal,Idiomaticity Ablation,0.42459180864898094,0.5849793052962011
Qwen/Qwen2.5-7B,8,no_context,Literal,Random Ablation,0.621260493061552,0.4310453637881638
Qwen/Qwen2.5-7B,9,standard,Neutral,No Ablation,0.6383106423916779,0.3670182297275995
Qwen/Qwen2.5-7B,9,standard,Neutral,Idiomaticity Ablation,0.5762047420508659,0.43109771293204296
Qwen/Qwen2.5-7B,9,standard,Neutral,Random Ablation,0.6659132647653719,0.3874673565359441
Qwen/Qwen2.5-7B,9,context,Figurative,No Ablation,0.7280191651061839,0.33056589286223953
Qwen/Qwen2.5-7B,9,context,Figurative,Idiomaticity Ablation,0.5348008084903246,0.4602664859570358
Qwen/Qwen2.5-7B,9,context,Figurative,Random Ablation,0.7038668705292015,0.32993505854507627
Qwen/Qwen2.5-7B,9,no_context,Literal,No Ablation,0.5971081984845695,0.487205667380545
Qwen/Qwen2.5-7B,9,no_context,Literal,Idiomaticity Ablation,0.4452937754292516,0.5290621238331921
Qwen/Qwen2.5-7B,9,no_context,Literal,Random Ablation,0.6247108208582637,0.4351531213746379
Qwen/Qwen2.5-7B,10,standard,Neutral,No Ablation,0.6693635925620837,0.3512562488852724
Qwen/Qwen2.5-7B,10,standard,Neutral,Idiomaticity Ablation,0.5417014640837483,0.4441551637928006
Qwen/Qwen2.5-7B,10,standard,Neutral,Random Ablation,0.6935158871390662,0.3418959741542114
Qwen/Qwen2.5-7B,10,context,Figurative,No Ablation,0.7314694929028956,0.3369329451445934
Qwen/Qwen2.5-7B,10,context,Figurative,Idiomaticity Ablation,0.5831053976442895,0.48327996421279856
Qwen/Qwen2.5-7B,10,context,Figurative,Random Ablation,0.7280191651061839,0.308201387469452
Qwen/Qwen2.5-7B,10,no_context,Literal,No Ablation,0.5971081984845695,0.46315463883089775
Qwen/Qwen2.5-7B,10,no_context,Literal,Idiomaticity Ablation,0.5004990201766399,0.5160091439931821
Qwen/Qwen2.5-7B,10,no_context,Literal,Random Ablation,0.6419624598418225,0.3580786709755526
Qwen/Qwen2.5-7B,11,standard,Neutral,No Ablation,0.7004165427324897,0.292993580296972
Qwen/Qwen2.5-7B,11,standard,Neutral,Idiomaticity Ablation,0.5106485139133422,0.4415341220702892
Qwen/Qwen2.5-7B,11,standard,Neutral,Random Ablation,0.6797145759522191,0.3209175832485582
Qwen/Qwen2.5-7B,11,context,Figurative,No Ablation,0.7418204762930308,0.323577472875324
Qwen/Qwen2.5-7B,11,context,Figurative,Idiomaticity Ablation,0.6003570366278482,0.4135214625627067
Qwen/Qwen2.5-7B,11,context,Figurative,Random Ablation,0.7418204762930309,0.2835783254528927
Qwen/Qwen2.5-7B,11,no_context,Literal,No Ablation,0.5971081984845695,0.45850464030897775
Qwen/Qwen2.5-7B,11,no_context,Literal,Idiomaticity Ablation,0.5073996757700634,0.48331768972023137
Qwen/Qwen2.5-7B,11,no_context,Literal,Random Ablation,0.6178101652648402,0.4097956178815568
Qwen/Qwen2.5-7B,12,standard,Neutral,No Ablation,0.6728139203587954,0.3198772085839012
Qwen/Qwen2.5-7B,12,standard,Neutral,Idiomaticity Ablation,0.49339687492978335,0.41763221459397354
Qwen/Qwen2.5-7B,12,standard,Neutral,Random Ablation,0.696966214935778,0.29268868558020267
Qwen/Qwen2.5-7B,12,context,Figurative,No Ablation,0.7314694929028956,0.36344908597386527
Qwen/Qwen2.5-7B,12,context,Figurative,Idiomaticity Ablation,0.6072576922212718,0.41553178779326466
Qwen/Qwen2.5-7B,12,context,Figurative,Random Ablation,0.7625224430733015,0.20174831090341497
Qwen/Qwen2.5-7B,12,no_context,Literal,No Ablation,0.6143598374681284,0.41581020256833123
Qwen/Qwen2.5-7B,12,no_context,Literal,Idiomaticity Ablation,0.49359836458321643,0.4798627069339568
Qwen/Qwen2.5-7B,12,no_context,Literal,Random Ablation,0.635061804248399,0.37592333463655075
Qwen/Qwen2.5-7B,13,standard,Neutral,No Ablation,0.6590126091719485,0.28408164487059173
Qwen/Qwen2.5-7B,13,standard,Neutral,Idiomaticity Ablation,0.46924458035280103,0.4533473387192315
Qwen/Qwen2.5-7B,13,standard,Neutral,Random Ablation,0.6797145759522191,0.31416935075271263
Qwen/Qwen2.5-7B,13,context,Figurative,No Ablation,0.7349198206996074,0.32165864781517345
Qwen/Qwen2.5-7B,13,context,Figurative,Idiomaticity Ablation,0.590006053237713,0.4222812197711718
Qwen/Qwen2.5-7B,13,context,Figurative,Random Ablation,0.7314694929028956,0.24918916127158924
Qwen/Qwen2.5-7B,13,no_context,Literal,No Ablation,0.6005585262812813,0.4136353011932235
Qwen/Qwen2.5-7B,13,no_context,Literal,Idiomaticity Ablation,0.407340169665422,0.5169789778007127
Qwen/Qwen2.5-7B,13,no_context,Literal,Random Ablation,0.5867572150944343,0.41272002528847546
Qwen/Qwen2.5-7B,14,standard,Neutral,No Ablation,0.6659132647653719,0.2905454640270033
Qwen/Qwen2.5-7B,14,standard,Neutral,Idiomaticity Ablation,0.44509228577581855,0.4748307969311656
Qwen/Qwen2.5-7B,14,standard,Neutral,Random Ablation,0.6900655593423544,0.2992052966172383
Qwen/Qwen2.5-7B,14,context,Figurative,No Ablation,0.7211185095127604,0.33485960099861617
Qwen/Qwen2.5-7B,14,context,Figurative,Idiomaticity Ablation,0.6141583478146954,0.3835299702699102
Qwen/Qwen2.5-7B,14,context,Figurative,Random Ablation,0.7211185095127602,0.29638697355862
Qwen/Qwen2.5-7B,14,no_context,Literal,No Ablation,0.6109095096714167,0.37509616636036097
Qwen/Qwen2.5-7B,14,no_context,Literal,Idiomaticity Ablation,0.39348848606521675,0.5095503912765353
Qwen/Qwen2.5-7B,14,no_context,Literal,Random Ablation,0.55915459272074,0.41812095503088836
Qwen/Qwen2.5-7B,15,standard,Neutral,No Ablation,0.6245093312048307,0.3262156750781095
Qwen/Qwen2.5-7B,15,standard,Neutral,Idiomaticity Ablation,0.43819163018239504,0.4782283774018236
Qwen/Qwen2.5-7B,15,standard,Neutral,Random Ablation,0.6762642481555072,0.2948768911806773
Qwen/Qwen2.5-7B,15,context,Figurative,No Ablation,0.7073171983259132,0.3631049959656823
Qwen/Qwen2.5-7B,15,context,Figurative,Idiomaticity Ablation,0.6141583478146955,0.38166302763912924
Qwen/Qwen2.5-7B,15,context,Figurative,Random Ablation,0.7418204762930309,0.26536138880151106
Qwen/Qwen2.5-7B,15,no_context,Literal,No Ablation,0.5626049205174517,0.4194695400219074
Qwen/Qwen2.5-7B,15,no_context,Literal,Idiomaticity Ablation,0.3624859083081689,0.4953470219556737
Qwen/Qwen2.5-7B,15,no_context,Literal,Random Ablation,0.514300331363487,0.41504201599568274
Qwen/Qwen2.5-7B,16,standard,Neutral,No Ablation,0.5934563810344248,0.3654090988519711
Qwen/Qwen2.5-7B,16,standard,Neutral,Idiomaticity Ablation,0.42439031899554797,0.4772315999596004
Qwen/Qwen2.5-7B,16,standard,Neutral,Random Ablation,0.6693635925620838,0.3008717492949605
Qwen/Qwen2.5-7B,16,context,Figurative,No Ablation,0.7176681817160485,0.332665998663324
Qwen/Qwen2.5-7B,16,context,Figurative,Idiomaticity Ablation,0.5934563810344248,0.39363991280405114
Qwen/Qwen2.5-7B,16,context,Figurative,Random Ablation,0.7418204762930308,0.2626558494267647
Qwen/Qwen2.5-7B,16,no_context,Literal,No Ablation,0.5212009869569105,0.4544698103351497
Qwen/Qwen2.5-7B,16,no_context,Literal,Idiomaticity Ablation,0.33488328593447486,0.5281132501365556
Qwen/Qwen2.5-7B,16,no_context,Literal,Random Ablation,0.48669770898979287,0.46739862485662986
Qwen/Qwen2.5-7B,17,standard,Neutral,No Ablation,0.6210590034081188,0.3443420226626843
Qwen/Qwen2.5-7B,17,standard,Neutral,Idiomaticity Ablation,0.4588935969626657,0.4505420016359133
Qwen/Qwen2.5-7B,17,standard,Neutral,Random Ablation,0.6728139203587955,0.30148442272007553
Qwen/Qwen2.5-7B,17,context,Figurative,No Ablation,0.7176681817160485,0.33904628143128335
Qwen/Qwen2.5-7B,17,context,Figurative,Idiomaticity Ablation,0.5658537586607306,0.4068461742769736
Qwen/Qwen2.5-7B,17,context,Figurative,Random Ablation,0.7383701484963192,0.26556319308934645
Qwen/Qwen2.5-7B,17,no_context,Literal,No Ablation,0.5108500035667752,0.4921641506314233
Qwen/Qwen2.5-7B,17,no_context,Literal,Idiomaticity Ablation,0.33483291352111666,0.5479223054376138
Qwen/Qwen2.5-7B,17,no_context,Literal,Random Ablation,0.48669770898979287,0.42748940197808755
Qwen/Qwen2.5-7B,18,standard,Neutral,No Ablation,0.6279596590015425,0.32942952133014664
Qwen/Qwen2.5-7B,18,standard,Neutral,Idiomaticity Ablation,0.5175491695067658,0.4448113564840077
Qwen/Qwen2.5-7B,18,standard,Neutral,Random Ablation,0.6797145759522191,0.3209175832485582
Qwen/Qwen2.5-7B,18,context,Figurative,No Ablation,0.6866152315456426,0.38077302325413664
Qwen/Qwen2.5-7B,18,context,Figurative,Idiomaticity Ablation,0.5658537586607307,0.4307247491424304
Qwen/Qwen2.5-7B,18,context,Figurative,Random Ablation,0.7418204762930309,0.2571593910028417
Qwen/Qwen2.5-7B,18,no_context,Literal,No Ablation,0.4521944310226751,0.49222444315010633
Qwen/Qwen2.5-7B,18,no_context,Literal,Idiomaticity Ablation,0.33833361373118664,0.4929597929002273
Qwen/Qwen2.5-7B,18,no_context,Literal,Random Ablation,0.4763467255996575,0.4510320736535999
Qwen/Qwen2.5-7B,19,standard,Neutral,No Ablation,0.6555622813752365,0.3298628863778462
Qwen/Qwen2.5-7B,19,standard,Neutral,Idiomaticity Ablation,0.5313504806936129,0.41121191385371875
Qwen/Qwen2.5-7B,19,standard,Neutral,Random Ablation,0.6935158871390661,0.3247526531289402
Qwen/Qwen2.5-7B,19,context,Figurative,No Ablation,0.6900655593423544,0.3735288603626359
Qwen/Qwen2.5-7B,19,context,Figurative,Idiomaticity Ablation,0.5796550698475775,0.4205438655564279
Qwen/Qwen2.5-7B,19,context,Figurative,Random Ablation,0.7107675261226251,0.32594185867742625
Qwen/Qwen2.5-7B,19,no_context,Literal,No Ablation,0.47634672559965746,0.461984774061079
Qwen/Qwen2.5-7B,19,no_context,Literal,Idiomaticity Ablation,0.32453230254433957,0.5311852560095283
Qwen/Qwen2.5-7B,19,no_context,Literal,Random Ablation,0.4280421364456927,0.4971076984726636
Qwen/Qwen2.5-7B,20,standard,Neutral,No Ablation,0.6762642481555072,0.2972893411828827
